32,0,1
32,5,1
32,10,1
32,3,2
234,6,3
234,10,1
234,3,3
547,10,1
626,2,3
626,3,4
626,8,2
626,10,1
626,11,2
162,6,2
162,10,1
162,3,2
248,6,1
248,3,1
121,6,2
121,10,1
121,3,2
252,4,1
252,6,2
252,2,2
252,3,2
574,6,3
574,2,2
574,10,2
574,3,3
135,9,3
135,6,2
135,3,2
332,2,3
332,3,3
332,4,2
332,6,3
332,7,1
332,9,4
332,10,1
428,10,1
428,2,1
428,3,2
190,0,1
190,10,1
190,3,2
576,9,2
576,6,3
576,10,2
576,3,3
488,9,2
488,6,1
488,3,1
306,6,3
306,10,3
306,3,3
457,6,3
457,10,2
457,3,3
478,9,3
478,6,3
478,3,3
0,6,2
0,10,1
0,3,3
2,9,2
2,10,2
2,3,2
142,9,2
142,6,3
142,3,3
226,6,1
226,3,1
384,9,2
384,6,3
384,10,1
28,9,2
28,6,3
28,3,3
518,9,3
518,6,4
518,3,4
101,0,1
101,2,2
101,3,3
101,6,2
101,9,1
566,6,1
566,3,1
418,6,3
418,10,2
418,3,3
620,6,3
620,1,3
620,3,3
453,6,3
453,3,4
586,3,3
586,7,2
586,9,3
586,10,1
586,11,1
473,6,3
473,10,2
473,1,3
473,3,3
151,2,3
151,6,3
151,8,2
151,9,2
151,10,2
247,9,3
247,1,4
247,6,3
247,3,3
625,9,1
625,6,3
625,2,1
625,10,3
449,6,3
449,2,2
449,3,3
417,2,2
417,3,3
417,6,2
417,7,3
417,11,3
388,6,4
388,10,1
388,3,3
11,2,3
11,3,2
11,6,2
11,8,2
11,9,3
373,10,3
373,2,1
373,3,2
251,2,1
251,3,2
251,6,2
251,10,1
251,1,2
331,7,3
331,6,3
331,2,2
331,3,3
98,9,1
98,6,2
98,3,2
324,0,3
324,3,3
324,5,3
324,6,3
324,1,3
320,6,3
320,7,2
320,3,4
562,9,2
562,5,1
562,6,2
562,3,2
264,9,2
264,6,3
264,8,1
264,3,3
134,9,1
134,6,1
134,3,2
561,0,2
561,6,2
561,10,1
171,9,1
171,6,1
171,3,1
536,6,1
536,10,2
536,3,1
117,3,3
117,6,2
117,7,1
117,1,2
117,11,1
9,2,2
9,3,3
9,8,2
9,10,2
9,11,2
527,9,1
527,10,1
527,3,2
570,10,1
570,7,1
570,3,2
124,6,3
124,3,3
241,4,1
241,9,1
241,6,3
241,10,1
283,6,2
283,10,2
283,3,2
545,9,2
545,1,3
545,3,3
463,2,2
463,6,3
463,9,2
463,10,1
463,1,2
271,6,2
271,10,3
271,3,2
380,6,2
380,3,2
380,11,1
1,9,2
1,6,2
1,3,2
197,6,3
197,7,1
197,3,3
404,9,1
404,6,1
404,3,1
58,10,1
58,6,1
58,3,1
191,6,3
191,5,3
